corpus_size,multiplier,ungated_median_ms,gated_median_ms,filter_overhead_ms,filter_overhead_pct,gated_recall_at_k
100,1,3.05052049952792,3.034521003428381,-0.0159994960995391,-0.5244841364617968,0.436
100,5,3.0459584959317,3.789895497902762,0.7439370019710623,24.423740604630474,1.0
100,10,3.0381670003407635,4.71308350097388,1.6749165006331168,55.12917823296931,1.0
100,20,3.170208008668851,6.720020501234103,3.549812492565252,111.97411913850392,1.0
1000,1,2.9739164965576492,2.952166003524326,-0.021750493033323437,-0.7313753785118022,0.052
1000,5,3.142396002658643,3.9340625080512837,0.7916665053926408,25.19308529933359,0.1
1000,10,3.197395497409161,4.9160004928126,1.7186049954034388,53.75015373593972,0.1
1000,20,3.2331874972442165,6.891104007081594,3.657916509837378,113.13654135292728,0.1
10000,1,4.319812505855225,4.0458959992975,-0.27391650655772537,-6.3409350796232316,0.00512
10000,5,4.216312001517508,5.213145996094681,0.9968339945771731,23.642320450156415,0.01
10000,10,4.314771002100315,7.215708501462359,2.900937499362044,67.23271056447598,0.01
10000,20,4.124541505007073,8.593563004978932,4.469021499971859,108.35195850366877,0.01
50000,1,9.027312997204717,7.641437499842141,-1.3858754973625764,-15.35202665280033,0.000928
50000,5,8.484895501169376,11.43229200533824,2.9473965041688643,34.736980599969186,0.002
50000,10,8.427666500210762,14.055749998078682,5.6280834978679195,66.78104191388175,0.002
50000,20,8.199749994673766,20.78975000040373,12.590000005729962,153.54126667164155,0.002
