label,n,mean,median,p95,p99,min,max,stdev,errors
vLLM Direct,50,421.3909041194711,447.9477709974162,531.4968330058036,535.8998749870807,313.1080830062274,535.8998749870807,65.68704929303095,0
LS Inference,50,427.44178585970076,452.62352100689895,537.8564580023522,554.4195419934113,317.88787500408944,554.4195419934113,71.47859177019649,0
Vector Search (ungated),50,285.49601417937083,283.8862915014033,294.27587499958463,304.96412501088344,275.8902909990866,304.96412501088344,6.42873838850149,0
Vector Search (gated),50,289.5961217195145,289.40314550709445,306.0038340045139,329.67833400471136,279.0379590005614,329.67833400471136,9.53112166053999,0
